"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","479","Test Delete Non-Existent VideoGame","","Wed Feb 05 15:12:53 GMT 2025","passed","Wed Feb 05 15:12:54 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateNonExistentVideoGame"
"","480","Test Deleting a Video Game using token authentication","","Wed Feb 05 15:12:54 GMT 2025","passed","Wed Feb 05 15:12:55 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithAuth"
"","516","Test Retrieving a Video Game without using token authentication","","Wed Feb 05 15:12:50 GMT 2025","passed","Wed Feb 05 15:12:50 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithoutAuth"
"","502","Test Authentication with Missing Username","","Wed Feb 05 15:12:56 GMT 2025","passed","Wed Feb 05 15:12:57 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingUsername"
"","498","Test Retrieving a Video Game using token authentication","","Wed Feb 05 15:12:50 GMT 2025","passed","Wed Feb 05 15:12:51 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithAuth"
"","482","Test Retrieving a Video Game without using token authentication","","Wed Feb 05 15:12:51 GMT 2025","passed","Wed Feb 05 15:12:51 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithoutAuth"
"","505","Test Creating a Video Game without using token authentication","","Wed Feb 05 15:12:49 GMT 2025","passed","Wed Feb 05 15:12:49 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithoutAuth"
"","492","Test Retrieving a Video Game using token authentication","","Wed Feb 05 15:12:51 GMT 2025","passed","Wed Feb 05 15:12:52 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithAuth"
"","477","Test Delete Non-Existent VideoGame","","Wed Feb 05 15:12:55 GMT 2025","passed","Wed Feb 05 15:12:55 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteNonExistentVideoGame"
"","480","Test Authentication with Invalid Credentials","","Wed Feb 05 15:12:56 GMT 2025","passed","Wed Feb 05 15:12:56 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithInvalidCredentials"
"","479","Test Authentication with Valid Credentials","","Wed Feb 05 15:12:55 GMT 2025","passed","Wed Feb 05 15:12:56 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithValidCredentials"
"","487","Test Get Non-Existent VideoGame","","Wed Feb 05 15:12:52 GMT 2025","passed","Wed Feb 05 15:12:52 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetNonExistentVideoGame"
"","475","Test Update VideoGame without using token authentication","","Wed Feb 05 15:12:53 GMT 2025","passed","Wed Feb 05 15:12:53 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithoutAuth"
"","515","Test Creating a Video Game using token authentication","","Wed Feb 05 15:12:49 GMT 2025","passed","Wed Feb 05 15:12:50 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithAuth"
"","471","Test Deleting a Video Game without using token authentication","","Wed Feb 05 15:12:54 GMT 2025","passed","Wed Feb 05 15:12:54 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithoutAuth"
"","493","Test Authentication with Missing Password","","Wed Feb 05 15:12:57 GMT 2025","passed","Wed Feb 05 15:12:57 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingPassword"
"","492","Test Update VideoGame using token authentication","","Wed Feb 05 15:12:52 GMT 2025","passed","Wed Feb 05 15:12:53 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithValidAuth"
